price,highway_mpg,city_mpg,peak_rpm,horsepower,compression_ratio,stroke,bore,fuel_system,engine_size,num_of_cylinders,engine_type,curb_weight,height,width,length,wheel_base,engine_location,drive_wheels,body_style,num_of_doors,aspiration,fuel_type,make,normalized_losses,symboling
5118,36,31,4900,69,9.0,2.36,3.62,2bbl,97,4,ohcf,2050,53.7,63.4,156.9,93.7,front,fwd,hatchback,2,std,gas,subaru,83,2
5151,53,47,5100,48,9.5,3.03,2.91,2bbl,61,3,l,1488,53.2,60.3,141.1,88.4,front,fwd,hatchback,2,std,gas,chevrolet,121,2
5195,31,30,5000,68,9.0,3.15,3.03,2bbl,91,4,ohc,1890,54.1,64.2,159.1,93.1,front,fwd,hatchback,2,std,gas,mazda,104,1
5348,39,35,4800,62,9.0,3.03,3.05,2bbl,92,4,ohc,1985,54.5,63.6,158.7,95.7,front,fwd,hatchback,2,std,gas,toyota,87,1
5389,41,37,5500,68,9.4,3.23,2.97,2bbl,92,4,ohc,1918,50.8,64.4,157.3,93.7,front,fwd,hatchback,2,std,gas,mitsubishi,161,2
5399,42,38,5500,60,10.1,3.07,2.91,1bbl,79,4,ohc,1837,52.6,64.0,150.0,93.7,front,fwd,hatchback,2,std,gas,honda,101,1
5499,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1889,54.5,63.8,165.3,94.5,front,fwd,sedan,2,std,gas,nissan,128,1
5572,41,37,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1918,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,std,gas,plymouth,119,1
5572,41,37,5500,68,9.41,3.23,2.97,2bbl,90,4,ohc,1876,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,std,gas,dodge,118,1
6095,38,31,5000,68,9.0,3.15,3.03,2bbl,91,4,ohc,1900,54.1,64.2,159.1,93.1,front,fwd,hatchback,2,std,gas,mazda,104,1
6189,38,31,5500,68,9.4,3.23,2.97,2bbl,92,4,ohc,1944,50.8,64.4,157.3,93.7,front,fwd,hatchback,2,std,gas,mitsubishi,161,2
6229,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1967,50.6,63.8,157.3,93.7,front,fwd,hatchback,4,std,gas,dodge,148,1
6229,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1967,50.6,63.8,157.3,93.7,front,fwd,hatchback,4,std,gas,plymouth,154,1
6295,43,38,5400,70,9.6,3.11,3.03,2bbl,90,4,ohc,1874,52.0,63.6,155.9,94.5,front,fwd,hatchback,2,std,gas,chevrolet,98,1
6338,38,31,4800,62,9.0,3.03,3.05,2bbl,92,4,ohc,2040,54.5,63.6,158.7,95.7,front,fwd,hatchback,2,std,gas,toyota,87,1
6377,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1876,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,std,gas,dodge,118,1
6479,54,49,4800,58,9.6,3.41,2.91,1bbl,92,4,ohc,1713,50.8,63.9,144.6,86.6,front,fwd,hatchback,2,std,gas,honda,137,2
6488,38,31,4800,62,9.0,3.03,3.05,2bbl,92,4,ohc,2015,54.5,63.6,158.7,95.7,front,fwd,hatchback,4,std,gas,toyota,74,1
6529,34,30,6000,76,9.2,3.41,2.91,1bbl,92,4,ohc,1940,52.6,64.0,150.0,93.7,front,fwd,hatchback,2,std,gas,honda,101,1
6575,43,38,5400,70,9.6,3.11,3.03,2bbl,90,4,ohc,1909,52.0,63.6,158.8,94.5,front,fwd,sedan,4,std,gas,chevrolet,81,0
6649,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1918,54.5,63.8,165.3,94.5,front,fwd,sedan,2,std,gas,nissan,128,1
6669,38,31,5500,68,9.4,3.23,2.97,2bbl,92,4,ohc,2004,50.8,64.4,157.3,93.7,front,fwd,hatchback,2,std,gas,mitsubishi,161,2
6692,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1989,50.6,63.8,157.3,93.7,front,fwd,sedan,4,std,gas,dodge,148,1
6692,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1989,50.8,63.8,167.3,93.7,front,fwd,sedan,4,std,gas,plymouth,154,1
6695,38,31,5000,68,9.0,3.15,3.03,2bbl,91,4,ohc,1945,54.1,64.2,166.8,93.1,front,fwd,sedan,4,std,gas,mazda,113,1
6795,38,31,5000,68,9.0,3.15,3.03,2bbl,91,4,ohc,1905,54.1,64.2,159.1,93.1,front,fwd,hatchback,2,std,gas,mazda,104,1
6849,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1938,54.5,63.8,165.3,94.5,front,fwd,sedan,4,std,gas,nissan,122,1
6855,38,31,6000,76,9.2,3.41,2.91,1bbl,92,4,ohc,1819,50.8,63.9,144.6,86.6,front,fwd,hatchback,2,std,gas,honda,137,2
6918,37,31,4800,62,9.0,3.03,3.05,2bbl,92,4,ohc,2280,59.1,63.6,169.7,95.7,front,fwd,wagon,4,std,gas,toyota,77,0
6938,37,30,4800,70,9.0,3.03,3.19,2bbl,98,4,ohc,2081,53.0,64.4,166.3,95.7,front,fwd,sedan,4,std,gas,toyota,91,0
6989,32,25,5000,88,8.5,3.46,3.35,2bbl,122,4,ohc,2365,51.6,65.4,172.4,96.3,front,fwd,sedan,4,std,gas,mitsubishi,125,1
7053,31,26,4400,73,8.7,2.64,3.62,2bbl,108,4,ohcf,2120,53.7,63.6,157.9,93.7,front,fwd,hatchback,2,std,gas,subaru,83,2
7099,50,45,4800,55,21.9,3.47,2.99,idi,103,4,ohc,2017,54.5,63.8,165.3,94.5,front,fwd,sedan,2,std,diesel,nissan,128,1
7126,37,32,4800,82,9.5,2.64,3.62,2bbl,108,4,ohcf,2145,52.5,65.4,172.0,97.2,front,fwd,sedan,4,std,gas,subaru,102,0
7129,34,30,6000,76,9.2,3.41,2.91,1bbl,92,4,ohc,1956,52.6,64.0,150.0,93.7,front,fwd,hatchback,2,std,gas,honda,101,1
7198,37,30,4800,70,9.0,3.03,3.19,2bbl,98,4,ohc,2109,52.8,64.4,166.3,95.7,front,fwd,hatchback,4,std,gas,toyota,91,0
7295,34,30,6000,76,9.2,3.41,2.91,1bbl,92,4,ohc,2010,54.5,64.0,163.4,96.5,front,fwd,sedan,4,std,gas,honda,110,0
7295,34,30,6000,76,9.2,3.41,2.92,1bbl,92,4,ohc,2024,58.3,63.9,157.1,96.5,front,fwd,wagon,4,std,gas,honda,78,0
7299,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1951,54.5,63.8,165.3,94.5,front,fwd,sedan,2,std,gas,nissan,128,1
7349,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,2024,53.5,63.8,170.2,94.5,front,fwd,wagon,4,std,gas,nissan,103,1
7395,38,31,5000,68,9.0,3.15,3.08,2bbl,91,4,ohc,1950,54.1,64.2,166.8,93.1,front,fwd,sedan,4,std,gas,mazda,113,1
7463,32,28,4800,82,9.0,2.64,3.62,2bbl,108,4,ohcf,2290,53.0,65.4,173.5,97.0,front,fwd,wagon,4,std,gas,subaru,89,0
7499,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1971,54.5,63.8,165.3,94.5,front,fwd,sedan,4,std,gas,nissan,122,1
7603,31,26,4400,73,8.7,2.64,3.62,2bbl,108,4,ohcf,2240,55.7,63.8,157.3,93.3,front,4wd,hatchback,2,std,gas,subaru,83,2
7609,38,31,5500,68,9.4,3.23,2.97,2bbl,98,4,ohc,2191,50.8,63.8,167.3,93.7,front,fwd,sedan,4,std,gas,plymouth,154,1
7609,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1989,50.6,63.8,157.3,93.7,front,fwd,sedan,4,std,gas,dodge,148,1
7689,30,24,5500,102,7.6,3.39,3.03,spdi,98,4,ohc,2145,50.8,63.8,157.3,93.0,front,fwd,hatchback,2,turbo,gas,mitsubishi,161,1
7738,47,38,4800,70,9.0,3.03,3.19,2bbl,98,4,ohc,2094,53.0,64.4,166.3,95.7,front,fwd,sedan,4,std,gas,toyota,91,0
7775,46,37,4800,52,23.0,3.4,3.01,idi,97,4,ohc,2261,55.7,65.5,171.7,97.3,front,fwd,sedan,2,std,diesel,volkswagen,122,2
7775,33,28,4400,82,9.5,2.64,3.62,2bbl,108,4,ohcf,2190,52.5,65.4,172.0,97.2,front,fwd,sedan,4,std,gas,subaru,102,0
7788,47,38,4500,56,22.5,3.35,3.27,idi,110,4,ohc,2275,52.8,64.4,166.3,95.7,front,fwd,hatchback,4,std,diesel,toyota,91,0
7799,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,2028,53.3,63.8,165.6,94.5,front,fwd,hatchback,2,std,gas,nissan,128,1
7895,33,27,5800,86,9.0,3.58,3.15,1bbl,110,4,ohc,2236,53.3,65.2,167.5,96.5,front,fwd,hatchback,2,std,gas,honda,106,0
7898,36,34,4500,56,22.5,3.35,3.27,idi,110,4,ohc,2275,53.0,64.4,166.3,95.7,front,fwd,sedan,4,std,diesel,toyota,91,0
7898,32,27,4800,62,9.0,3.03,3.05,2bbl,92,4,ohc,2290,59.1,63.6,169.7,95.7,front,4wd,wagon,4,std,gas,toyota,81,0
7957,30,24,5500,102,7.6,3.39,3.03,spdi,98,4,ohc,2128,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,turbo,gas,plymouth,119,1
7957,30,24,5500,102,7.6,3.39,3.03,mpfi,98,4,ohc,2128,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,turbo,gas,dodge,118,1
7975,34,27,5250,85,9.0,3.4,3.19,mpfi,109,4,ohc,2209,55.7,65.5,171.7,97.3,front,fwd,sedan,2,std,gas,volkswagen,122,2
7995,46,37,4800,52,23.0,3.4,3.01,idi,97,4,ohc,2264,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,diesel,volkswagen,94,2
7999,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,2037,53.5,63.8,170.2,94.5,front,fwd,wagon,4,std,gas,nissan,103,1
8013,29,23,4800,82,9.0,2.64,3.62,2bbl,108,4,ohcf,2420,54.9,65.4,173.6,96.9,front,4wd,wagon,4,std,gas,subaru,85,0
8058,34,29,4800,70,9.0,3.03,3.19,2bbl,98,4,ohc,2169,52.6,64.0,168.7,94.5,front,rwd,sedan,2,std,gas,toyota,168,1
8189,32,25,5000,88,8.5,3.46,3.35,2bbl,122,4,ohc,2405,51.6,65.4,172.4,96.3,front,fwd,sedan,4,std,gas,mitsubishi,125,1
8195,34,27,5250,85,9.0,3.4,3.19,mpfi,109,4,ohc,2212,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,volkswagen,94,2
8238,34,29,4800,70,9.0,3.03,3.19,2bbl,98,4,ohc,2204,52.6,64.0,168.7,94.5,front,rwd,hatchback,2,std,gas,toyota,168,1
8249,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,2008,53.3,63.8,162.4,95.1,front,fwd,hardtop,2,std,gas,nissan,168,2
8358,34,28,4800,70,9.0,3.03,3.19,2bbl,98,4,ohc,2122,52.8,64.4,166.3,95.7,front,fwd,hatchback,4,std,gas,toyota,91,0
8449,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2540,52.0,65.6,176.2,98.4,front,rwd,hardtop,2,std,gas,toyota,134,2
8495,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2410,55.5,66.5,177.8,98.8,front,fwd,sedan,4,std,gas,mazda,115,0
8495,34,27,5250,85,9.0,3.4,3.19,mpfi,109,4,ohc,2275,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,volkswagen,94,2
8499,32,25,5000,88,8.5,3.46,3.35,2bbl,122,4,ohc,2328,49.4,65.4,173.0,96.3,front,fwd,hatchback,2,std,gas,mitsubishi,153,3
8778,32,27,4800,62,9.0,3.03,3.05,2bbl,92,4,ohc,3110,59.1,63.6,169.7,95.7,front,4wd,wagon,4,std,gas,toyota,91,0
8845,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2385,53.7,66.5,177.8,98.8,front,fwd,hatchback,2,std,gas,mazda,129,1
8845,33,27,5800,86,9.0,3.58,3.15,1bbl,110,4,ohc,2304,54.1,65.2,175.4,96.5,front,fwd,sedan,4,std,gas,honda,85,0
8921,30,24,5000,88,8.5,3.46,3.34,2bbl,122,4,ohc,2535,59.8,64.6,174.6,103.3,front,fwd,wagon,4,std,gas,dodge,110,-1
8921,30,24,5000,88,8.5,3.46,3.35,2bbl,122,4,ohc,2535,59.8,64.6,174.6,103.3,front,fwd,wagon,4,std,gas,plymouth,74,-1
8948,34,29,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2326,54.9,66.5,175.6,102.4,front,fwd,sedan,4,std,gas,toyota,65,-1
8949,34,27,5200,97,8.5,3.47,3.33,2bbl,120,4,ohc,2324,54.7,65.2,173.4,97.2,front,fwd,hatchback,4,std,gas,nissan,106,0
9095,33,27,5800,86,9.0,3.58,3.15,1bbl,110,4,ohc,2289,53.3,65.2,167.5,96.5,front,fwd,hatchback,2,std,gas,honda,106,0
9233,25,24,4800,82,9.0,2.64,3.62,2bbl,108,4,ohcf,2385,54.3,65.4,172.0,97.0,front,4wd,sedan,4,std,gas,subaru,102,0
9258,34,28,4800,70,9.0,3.03,3.19,2bbl,98,4,ohc,2140,52.8,64.4,166.3,95.7,front,fwd,sedan,4,std,gas,toyota,91,0
9279,30,23,5500,116,7.5,3.46,3.17,spdi,110,4,ohc,2403,51.6,65.4,172.4,96.3,front,fwd,sedan,4,std,gas,mitsubishi,137,-1
9279,30,23,5500,116,7.5,3.46,3.17,spdi,110,4,ohc,2403,51.6,65.4,172.4,96.3,front,fwd,sedan,4,turbo,gas,mitsubishi,125,1
9298,29,26,6600,112,9.4,3.08,3.24,mpfi,98,4,dohc,2265,52.6,64.0,168.7,94.5,front,rwd,sedan,2,std,gas,toyota,168,1
9495,42,37,4500,68,23.0,3.4,3.01,idi,97,4,ohc,2319,55.7,65.5,171.7,97.3,front,fwd,sedan,4,turbo,diesel,volkswagen,94,2
9538,29,26,6600,112,9.4,3.08,3.24,mpfi,98,4,dohc,2300,52.6,64.0,168.7,94.5,front,rwd,hatchback,2,std,gas,toyota,168,1
9549,34,27,5200,97,8.5,3.47,3.33,2bbl,120,4,ohc,2302,54.7,65.2,173.4,97.2,front,fwd,sedan,4,std,gas,nissan,106,0
9639,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2536,52.0,65.6,176.2,98.4,front,rwd,hardtop,2,std,gas,toyota,134,2
9959,30,23,5500,116,7.5,3.46,3.17,spdi,110,4,ohc,2370,49.4,65.4,173.0,96.3,front,fwd,hatchback,2,turbo,gas,mitsubishi,153,3
9960,32,26,5200,94,9.0,2.64,3.62,mpfi,108,4,ohcf,2340,52.5,65.4,172.0,97.2,front,fwd,sedan,4,std,gas,subaru,102,0
9980,29,24,5500,90,8.5,3.4,3.19,mpfi,109,4,ohc,2221,51.4,64.0,165.7,94.5,front,fwd,hatchback,2,std,gas,volkswagen,256,3
9988,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2414,53.9,66.5,175.6,102.4,front,fwd,hatchback,4,std,gas,toyota,65,-1
9989,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2551,52.0,65.6,176.2,98.4,front,rwd,hatchback,2,std,gas,toyota,134,2
9995,32,26,5500,100,10.0,3.4,3.19,mpfi,109,4,ohc,2300,55.7,65.5,171.7,97.3,front,fwd,sedan,4,std,gas,volkswagen,94,2
10198,31,25,5200,94,9.0,2.64,3.62,mpfi,108,4,ohcf,2455,53.0,65.4,173.5,97.0,front,fwd,wagon,4,std,gas,subaru,89,0
10245,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2410,55.5,66.5,177.8,98.8,front,fwd,sedan,4,std,gas,mazda,115,0
10295,33,27,5800,86,9.0,3.58,3.15,1bbl,110,4,ohc,2372,54.1,62.5,175.4,96.5,front,fwd,sedan,4,std,gas,honda,85,0
10345,31,25,5500,100,9.1,3.58,3.15,2bbl,110,4,ohc,2293,51.0,66.0,169.1,96.5,front,fwd,sedan,2,std,gas,honda,107,1
10595,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2385,53.7,66.5,177.8,98.8,front,fwd,hatchback,2,std,gas,mazda,129,1
10698,33,30,4500,73,22.5,3.35,3.27,idi,110,4,ohc,2480,54.9,66.5,175.6,102.4,front,fwd,sedan,4,turbo,diesel,toyota,65,-1
10898,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2414,54.9,66.5,175.6,102.4,front,fwd,sedan,4,std,gas,toyota,65,-1
11199,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2679,52.0,65.6,176.2,98.4,front,rwd,hardtop,2,std,gas,toyota,134,2
11245,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2425,55.5,66.5,177.8,98.8,front,fwd,hatchback,4,std,gas,mazda,115,0
11248,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2458,53.9,66.5,175.6,102.4,front,fwd,hatchback,4,std,gas,toyota,65,-1
11259,29,24,4800,111,7.7,2.64,3.62,mpfi,108,4,ohcf,2510,54.3,65.4,172.0,97.0,front,4wd,sedan,4,turbo,gas,subaru,102,0
11549,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2714,52.0,65.6,176.2,98.4,front,rwd,hatchback,2,std,gas,toyota,134,2
11694,23,23,4800,111,7.7,2.64,3.62,mpfi,108,4,ohcf,2650,54.9,65.4,173.6,96.9,front,4wd,wagon,4,turbo,gas,subaru,85,0
11850,28,21,5250,110,9.31,3.07,3.54,mpfi,121,4,ohc,2658,56.1,66.5,186.6,99.1,front,fwd,hatchback,2,std,gas,saab,150,3
11900,24,19,5000,97,8.4,3.19,3.46,mpfi,120,4,l,3020,56.7,68.4,186.7,107.9,front,rwd,sedan,4,std,gas,peugot,161,0
12170,28,21,5250,110,9.3,3.07,3.54,mpfi,121,4,ohc,2695,56.1,66.5,186.6,99.1,front,fwd,sedan,4,std,gas,saab,104,2
12940,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2912,56.2,67.2,188.8,104.3,front,rwd,sedan,4,std,gas,volvo,103,-2
12945,28,24,5800,101,9.0,3.58,3.15,mpfi,110,4,ohc,2465,54.1,65.2,175.4,96.5,front,fwd,sedan,4,std,gas,honda,85,0
12964,24,19,5000,145,7.0,3.9,3.6,mfi,156,4,ohc,2811,50.2,66.3,173.2,95.9,front,fwd,hatchback,2,turbo,gas,dodge,145,3
13200,33,28,4150,95,21.0,3.52,3.7,idi,152,4,l,3197,56.7,68.4,186.7,107.9,front,rwd,sedan,4,turbo,diesel,peugot,161,0
13415,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3034,57.5,67.2,188.8,104.3,front,rwd,wagon,4,std,gas,volvo,74,-1
13499,25,19,5200,152,9.0,3.27,3.43,mpfi,181,6,ohcv,3060,55.1,66.5,184.6,100.4,front,fwd,sedan,4,std,gas,nissan,108,0
13499,22,17,5200,152,9.0,3.27,3.43,mpfi,181,6,ohcv,3095,55.1,66.5,181.7,100.4,front,fwd,sedan,4,std,gas,nissan,128,0
13950,30,24,5500,102,10.0,3.4,3.19,mpfi,109,4,ohc,2337,54.3,66.2,176.6,99.8,front,fwd,sedan,4,std,gas,audi,164,2
14399,22,17,5200,152,9.0,3.27,3.43,mpfi,181,6,ohcv,3296,56.1,66.5,184.6,100.4,front,fwd,wagon,4,std,gas,nissan,108,0
15040,28,21,5250,110,9.3,2.07,2.54,mpfi,121,4,ohc,2707,56.1,66.5,186.6,99.1,front,fwd,hatchback,2,std,gas,saab,150,3
15510,28,21,5250,110,9.3,3.07,3.54,mpfi,121,4,ohc,2758,56.1,66.5,186.6,99.1,front,fwd,sedan,4,std,gas,saab,104,2
15580,24,19,5000,95,8.4,2.19,3.46,mpfi,120,4,l,3075,56.7,68.4,186.7,107.9,front,rwd,sedan,4,std,gas,peugot,161,0
15690,24,20,5200,156,9.2,3.35,3.27,mpfi,171,6,dohc,3131,54.1,66.5,187.8,104.5,front,rwd,sedan,4,std,gas,toyota,90,-1
15985,28,24,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2935,56.2,67.2,188.8,104.3,front,rwd,sedan,4,std,gas,volvo,103,-2
15998,24,19,5200,161,9.3,3.35,3.27,mpfi,171,6,dohc,3016,52.0,67.7,183.5,102.9,front,rwd,hatchback,2,std,gas,toyota,197,3
16430,29,23,5800,101,8.8,2.8,3.5,mpfi,108,4,ohc,2395,54.3,64.8,176.8,101.2,front,rwd,sedan,2,std,gas,bmw,192,2
16515,28,24,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3042,57.5,67.2,188.8,104.3,front,rwd,wagon,4,std,gas,volvo,74,-1
16558,24,20,5200,161,9.3,3.35,3.27,mpfi,171,6,dohc,2976,52.0,67.7,183.5,102.9,front,rwd,hatchback,2,std,gas,toyota,197,3
16630,24,19,5000,97,8.4,3.19,3.46,mpfi,120,4,l,3075,56.7,68.4,186.7,107.9,front,rwd,sedan,4,std,gas,peugot,161,0
16845,28,23,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,2952,55.5,68.9,188.8,109.1,front,rwd,sedan,4,std,gas,volvo,95,-1
16900,33,28,4150,95,21.0,3.52,3.7,idi,152,4,l,3252,56.7,68.4,186.7,107.9,front,rwd,sedan,4,turbo,diesel,peugot,161,0
16925,29,23,5800,101,8.8,2.8,3.5,mpfi,108,4,ohc,2395,54.3,64.8,176.8,101.2,front,rwd,sedan,4,std,gas,bmw,192,0
17199,25,19,5200,160,9.0,3.27,3.43,mpfi,181,6,ohcv,3071,49.7,67.9,170.7,91.3,front,rwd,hatchback,2,std,gas,nissan,194,3
17450,22,18,5500,115,8.0,3.4,3.19,mpfi,136,5,ohc,2824,54.3,66.4,176.6,99.4,front,4wd,sedan,4,std,gas,audi,164,2
17669,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2975,53.0,65.6,176.2,98.4,front,rwd,convertible,2,std,gas,toyota,134,2
17710,25,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2844,55.7,71.4,192.7,105.8,front,fwd,sedan,4,std,gas,audi,158,1
17950,33,28,4150,95,21.0,3.52,3.7,idi,152,4,l,3252,56.7,68.4,186.7,107.9,front,rwd,sedan,4,turbo,diesel,peugot,161,0
18150,24,18,5600,142,7.0,3.21,3.61,mpfi,134,4,l,3130,56.0,68.3,186.7,108.0,front,rwd,sedan,4,turbo,gas,peugot,161,0
18150,26,19,5500,160,9.0,3.07,3.54,mpfi,121,4,dohc,2808,56.1,66.5,186.6,99.1,front,fwd,hatchback,2,turbo,gas,saab,150,3
18280,27,19,5000,120,8.0,3.16,3.76,mpfi,140,4,ohc,2670,54.4,66.1,175.0,104.9,front,rwd,sedan,4,std,gas,mazda,118,0
18399,25,19,5200,160,9.0,3.27,3.43,mpfi,181,6,ohcv,3139,49.7,67.9,178.5,99.2,front,rwd,hatchback,2,std,gas,nissan,231,1
18420,22,17,5100,162,7.5,3.15,3.62,mpfi,130,4,ohc,3045,56.2,67.2,188.8,104.3,front,rwd,sedan,4,turbo,gas,volvo,103,-2
18620,26,19,5500,160,9.0,3.07,3.54,mpfi,121,4,dohc,2847,56.1,66.5,186.6,99.1,front,fwd,sedan,4,turbo,gas,saab,104,2
18950,22,17,5100,162,7.5,3.15,3.62,mpfi,130,4,ohc,3157,57.5,67.2,188.8,104.3,front,rwd,wagon,4,turbo,gas,volvo,74,-1
19045,25,19,5300,160,8.7,3.15,3.78,mpfi,141,4,ohc,3049,55.5,68.8,188.8,109.1,front,rwd,sedan,4,turbo,gas,volvo,95,-1
19699,23,17,5200,200,7.8,3.27,3.43,mpfi,181,6,ohcv,3139,49.7,67.9,170.7,91.3,front,rwd,hatchback,2,turbo,gas,nissan,194,3
20970,28,21,4250,121,9.0,3.19,3.31,mpfi,164,6,ohc,2710,54.3,64.8,176.8,101.2,front,rwd,sedan,2,std,gas,bmw,188,0
21105,28,21,4250,121,9.0,3.19,3.31,mpfi,164,6,ohc,2765,54.3,64.8,176.8,101.2,front,rwd,sedan,4,std,gas,bmw,188,0
21485,23,18,5500,134,8.8,2.87,3.58,mpfi,173,6,ohcv,3012,55.5,68.9,188.8,109.1,front,rwd,sedan,4,std,gas,volvo,95,-1
22018,27,19,5500,143,9.5,3.11,3.94,mpfi,151,4,ohc,2778,50.2,68.3,168.9,94.5,front,rwd,hatchback,2,std,gas,porsche,186,3
22470,27,26,4800,106,23.0,3.4,3.01,idi,145,6,ohc,3217,55.5,68.9,188.8,109.1,front,rwd,sedan,4,turbo,diesel,volvo,95,-1
22625,25,19,5400,114,9.5,3.15,3.78,mpfi,141,4,ohc,3062,55.5,68.9,188.8,109.1,front,rwd,sedan,4,turbo,gas,volvo,95,-1
23875,20,17,5500,140,8.3,3.4,3.13,mpfi,131,5,ohc,3086,55.9,71.4,192.7,105.8,front,fwd,sedan,4,turbo,gas,audi,158,1
25552,25,22,4350,123,21.5,3.64,3.58,idi,183,5,ohc,3515,56.5,70.3,190.9,110.0,front,rwd,sedan,4,turbo,diesel,mercedes-benz,93,-1
28176,25,22,4350,123,21.5,3.64,3.58,idi,183,5,ohc,3495,54.9,70.3,187.5,106.7,front,rwd,hardtop,2,turbo,diesel,mercedes-benz,93,0
28248,25,22,4350,123,21.5,3.64,3.58,idi,183,5,ohc,3750,58.7,70.3,190.9,110.0,front,rwd,wagon,4,turbo,diesel,mercedes-benz,93,-1
31600,25,22,4350,123,21.5,3.64,3.58,idi,183,5,ohc,3770,56.3,71.7,202.6,115.6,front,rwd,sedan,4,turbo,diesel,mercedes-benz,93,-1
32250,19,15,4750,176,8.1,4.17,3.63,mpfi,258,6,dohc,4066,52.8,69.6,199.6,113.0,front,rwd,sedan,4,std,gas,jaguar,145,0
35056,18,16,4750,155,8.3,3.1,3.46,mpfi,234,8,ohcv,3685,50.8,70.5,180.3,96.6,front,rwd,convertible,2,std,gas,mercedes-benz,142,3
